.feature,.interaction
clade2:MST_medium,0
VD_minor:MST_medium,0
VD_medium:MST_medium,NA
VD_major:MST_medium,NA
ER_minor:MST_medium,0
ER_medium:MST_medium,0
ER_major:MST_medium,0
MST_minor:MST_medium,NA
MST_major:MST_medium,NA
clade2:VD_minor,6.40421147612989e-16
VD_medium:VD_minor,0
VD_major:VD_minor,0
ER_minor:VD_minor,8.826400534974515e-16
ER_medium:VD_minor,6.193527265494254e-16
ER_major:VD_minor,5.709609267586417e-16
MST_minor:VD_minor,0
MST_medium:VD_minor,0
MST_major:VD_minor,0
clade2:VD_major,0
VD_minor:VD_major,0
VD_medium:VD_major,NA
ER_minor:VD_major,0
ER_medium:VD_major,0
ER_major:VD_major,0
MST_minor:VD_major,NA
MST_medium:VD_major,NA
MST_major:VD_major,NA
