variable,relative_importance,scaled_importance,percentage
MST_minor,1815068.125,1,0.345217389690531
ER_medium,736263.5,0.405639595483503,0.140033842307938
MST_medium,630065.625,0.347130565691577,0.119835507769843
VD_medium,504503.84375,0.277953117462189,0.0959542496666423
ER_major,407728.78125,0.224635525043998,0.0775480895874508
ER_minor,364421.0625,0.200775418553505,0.0693111659070646
MST_major,281204.25,0.154927655952308,0.0534837209787282
clade2,240737.09375,0.132632538930185,0.0457870588775061
VD_minor,150821.109375,0.0830939110756518,0.0286854630807136
VD_major,126940.6484375,0.0699371261547001,0.0241435121335829
