...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
1,Abe_mex,Abelia mexicana,Caprifoliaceae,Dipsacales,asterids,2.22555414,1.462934945,0,0.761307322,0.87846809,0,0.815464332,0.94526567,0,42.34,140.17,70.35,279.24,9796.62,3.23,NA,-98.56,-93.56,-96.06,4.12,5,0.35,1.08,0.45,6
2,Aex_pun,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,rosids,2.394430686,2.105960419,0.50525941,0.506476198,0.651016045,0.988486599,0.965990063,0.855348382,1.757368026,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,-72.695,6.21,2.49,0.5,1.53,0.38,5
3,Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,2.645986862,2.238992328,0.838743488,0.636042207,0.747417162,0.967810766,0.8272338,0.807739912,1.297718814,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,5
4,Als_lig,Alstroemeria ligtu,Alstroemeriaceae,Liliales,monocots,1.612096947,1.272099039,0,0.542979745,0.716557735,0,5.315079715,3.26739704,0,46.94,93.9,83.56,67.77,340.52,64.26,NA,-98.96,-98.5,-98.73,1.8,33.78,NA,NA,0.19,3
5,Ane_cal,Anemopsis californica,Saururaceae,Piperales,basal angiosperms,2.398724819,1.817623939,0.256069928,0.721919311,0.783604107,0.866321572,0.859123666,0.855112779,0.551404542,93.44,157.41,81.95,1410.28,9720.78,0.21,10.65,-58.92,-56.47,-57.695,6.41,15.64,0.21,1.28,0.29,2
6,Arg_spi,Argania spinosa,Sapotaceae,Ericales,asterids,2.567482341,2.096011581,0.372597964,0.631654091,0.742010944,0.927767348,1.143340713,1.265670908,2.223723657,110.34,132.61,62.69,226.86,3250.95,5.34,NA,-54.72,-13.44,-34.08,4.86,27.43,NA,NA,0.66,6
7,Ari_bae,Aristolochia baetica,Aristolochiaceae,Piperales,basal angiosperms,2.435999644,1.662778415,0.301001213,0.716575047,0.872904091,0.996692885,0.777026589,0.809447436,0.382835049,74.16,255.49,182.43,736.49,7176.13,3.36,NA,68.81,-52.18,8.315,3.14,1.06,NA,NA,0.38,2
8,Asi_tri,Asimina triloba,Annonaceae,Magnoliales,basal angiosperms,2.044789614,1.538273183,0.54472861,0.730816029,0.752833896,0.970444205,0.761755205,0.784729563,1.191372586,38.14,173.39,82.34,704.1,2889.36,7.49,NA,-90.18,-95.84,-93.01,1,1.71,NA,NA,0.3,2
9,Asp_obl,Asplenium oblongifolium,Aspleniaceae,Polypodiales,ferns,0.858863594,0.475445264,0,0.998117672,0.998323824,0,1.829566374,1.829591741,0,111.38,172.89,96.02,753.83,6613.71,1.9,19.6,-91.01,-60.23,-75.62,0.81,0.59,NA,NA,0.32,1
10,Ast_ban,Astelia banksii,Asteliaceae,Asparagales,monocots,2.035374443,1.437925505,0,0.388419949,0.51889762,0,4.552018304,5.091657862,4.605620143,267.6,291.58,201.42,7046.25,6966.23,1.16,1.07,-96.7,-99.03,-97.865,0.41,0.8,0.41,1.05,0.16,3
11,Bar_pur,Barbacenia purpurea,Velloziaceae,Pandanales,monocots,2.321566884,0.680651384,0,0.635683573,1,0,6.201197345,3.547657149,0,173.8,NA,425.33,7774.52,7458.79,527.49,783.02,-85.98,-94.62,-90.3,3.6,5.12,NA,NA,0.27,3
12,Beg_for,Begonia formosa,Begoniaceae,Cucurbitales,rosids,1.643535647,1.389266917,0.32860129,0.71374649,0.785375426,0.967522644,0.785233926,0.946358808,0.799533151,32.76,344.31,52.77,502.5,1980.69,0.33,NA,-94.1,-95.28,-94.69,4.42,4.73,NA,NA,0.25,5
13,Bei_tar,Beilschmiedia tarairi,Lauraceae,Laurales,basal angiosperms,2.504688367,2.141739417,1.048719227,0.62841604,0.719578361,0.951341585,0.766833309,0.748779279,0.880338834,149.37,198.65,153.18,2107.18,5479.78,2.67,9.32,-96.23,-97.61,-96.92,5.31,3.56,NA,NA,0.31,2
14,Bux_har,Buxus harlandii,Buxaceae,Buxales,basal eudicots,2.624118786,2.306239352,0.550676159,0.524960473,0.665077193,0.992662183,1.563169074,1.961341314,1.290766719,177.74,NA,336.58,2102.02,5637.53,6.95,NA,18.1,-9.66,4.22,1.29,6.4,1.28,3.91,0.65,4
15,Cal_nut,Deyeuxia nutkaensis,Poaceae,Poales,monocots,0.34382265,0.027706082,0,0.994976756,1,0,9.535649568,7.132694144,2.089149994,112.58,134.45,114.29,2395.21,6975.67,213.83,683.15,-87.55,-95.09,-91.32,1.17,3.23,NA,NA,0.24,3
16,Cal_pan,Ackama paniculosa,Cunoniaceae,Oxalidales,rosids,1.634256047,1.234210946,0.458895325,0.669218684,0.803347528,0.998193785,0.792322777,0.839301673,1.564839734,159.9,404.43,80.23,1444.21,9783.98,1.63,60.36,-91.62,-97.42,-94.52,3.5,2.73,0.53,1.62,0.37,5
17,Cam_sin,Camellia sinensis,Theaceae,Ericales,asterids,2.370885492,1.859300662,0.573544611,0.724368625,0.776110637,0.971456298,0.856984417,0.849958208,1.112641999,88.83,94.42,141.34,2397.97,7295.4,6.17,48.02,-86.96,-88.98,-87.97,3.27,1.91,2.62,4.73,0.44,6
18,Can_can,Canarina canariensis,Campanulaceae,Asterales,asterids,1.884005162,0.961224367,0.242682168,0.726068171,0.960858866,1,0.98682617,1.533068082,0.96672574,25.07,89.5,103.99,203.67,5301.48,15.87,NA,-78.99,-82.62,-80.805,3.97,1.09,NA,NA,0.26,6
19,Car_pal,Carya palmeri,Juglandaceae,Fagales,rosids,2.117361285,1.87631078,1.144498223,0.606779161,0.672759019,0.84243537,0.715382044,0.732155931,1.181999592,59.88,50.73,35.6,176.25,1615.71,NA,NA,-68.97,-87.35,-78.16,4.22,1.99,NA,NA,0.54,5
20,Car_pen,Carex agastachys,Cyperaceae,Poales,monocots,2.273076214,1.973082567,0.073675138,0.412968789,0.662079653,1,4.513466206,4.24761756,1.101112879,124.74,387.81,795.82,1264.17,13545.2,399.7,525.01,-72.17,-96.66,-84.415,0.98,0.17,NA,NA,0.33,3
21,Cat_edu,Catha edulis,Celastraceae,Celastrales,rosids,2.169382527,1.701331546,0.37945993,0.624274348,0.772677605,0.998878343,0.899563372,1.038453939,1.444925534,130.98,NA,61.26,4436.9,5078.43,11.62,NA,-65.58,47.05,-9.265,6.93,4.21,NA,NA,0.47,5
22,Cel_aus,Celtis australis,Cannabaceae,Rosales,rosids,0.299499202,0.224218315,0.054266325,0.64880318,0.787882243,1,0.767874426,0.799518358,1.236059183,57.8,273.53,188.28,1181.49,13405.02,3.33,NA,-84.16,-43.6,-63.88,0.81,3.67,NA,NA,0.37,5
23,Cel_ten,Celtis tenuifolia,Cannabaceae,Rosales,rosids,2.159966458,1.792166435,0.85044009,0.611828044,0.700741826,0.955792262,0.777600203,0.773630682,1.136000746,54.91,258.13,27.97,419.46,3706.13,1.87,NA,-54.21,10.97,-21.62,1.52,0.52,NA,NA,0.38,5
24,Chi_nit,Chimonanthus nitens,Calycanthaceae,Laurales,basal angiosperms,1.573903326,1.15008929,0.326764375,0.697595488,0.784906576,0.997241647,0.723368734,0.810654666,1.436930791,57.23,205.09,59.49,2157.35,14912.49,11.47,46.27,-76.97,-69.35,-73.16,2.47,3.13,0.37,1.35,0.35,2
25,Chl_spi,Chloranthus spicatus,Chloranthaceae,Chloranthales,basal angiosperms,1.909140121,1.337836314,0.281932961,0.802249312,0.825941312,0.993627495,0.844509767,1.018478238,0.987999275,42.03,204.68,180.25,695.86,5481.03,1.76,33.89,-61.87,1.04,-30.415,1.93,0.82,NA,NA,0.38,2
26,Cis_ant,Cissus antarctica,Vitaceae,Vitales,rosids,2.779539922,2.374601991,0.995474373,0.586947584,0.700919234,0.954884416,0.862434458,0.814784751,0.960566594,87.08,125.1,153.1,719.63,6570.09,1.97,7.21,-58.35,-72.28,-65.315,3.79,0.33,NA,NA,0.36,5
27,Cis_pop,Cistus populifolius,Cistaceae,Malvales,rosids,2.830106652,1.196137814,0.319066308,0.707310194,0.943081213,0.998438796,0.795428248,0.95532403,0.745171994,98.63,100.7,88.45,604.2,3883,2.15,NA,235.79,88.1,161.945,7.29,0.44,NA,NA,0.41,5
28,Cit_mon,Citharexylum montevidense,Verbenaceae,Lamiales,asterids,2.652928301,2.209938388,0.879490458,0.617348845,0.715027588,0.956698622,0.807194133,0.817880316,1.130328531,176.02,856.42,272.37,3478.44,25410.3,52.97,64.7,100.51,-84.15,8.18,4.8,2.58,NA,NA,0.35,6
29,Clu_ala,Clusia alata,Clusiaceae,Malpighiales,rosids,1.654804311,1.357683145,0.349604132,0.794591605,0.861980721,1,0.789692359,1.056671855,1.431727087,181.47,136.84,94.31,2537.08,6656.66,6.68,16.92,-94.61,-94.42,-94.515,3.4,15.69,NA,NA,0.23,5
30,Cne_tri,Cneorum tricoccon,Rutaceae,Sapindales,rosids,2.8771598,2.49971663,0.431240535,0.580294333,0.740093952,1,0.858894594,0.937755138,2.115992691,156.15,162.82,51.39,5539.32,2005.3,13.88,NA,-24.94,-53.79,-39.365,4.57,25.15,NA,NA,0.58,5
31,Com_ery,Combretum erythrophyllum,Combretaceae,Myrtales,rosids,1.863238566,1.553213036,0.482063983,0.653022892,0.74083837,0.985770701,0.808454852,0.944579724,1.318498921,46.86,729.01,110.98,1796.08,7112.13,1.88,NA,-96.16,-96.04,-96.1,4.92,5.99,0.49,1.51,0.44,5
32,Com_umb,Comandra umbellata,Comandraceae,Santalales,rosids,2.725003407,2.421294255,0.561734003,0.635544706,0.745695709,0.953244044,0.908123307,1.056340859,1.18542602,148.07,12.75,7.57,47.89,249.96,NA,NA,-20.38,-33.94,-27.16,6.64,25.45,NA,NA,0.5,5
33,Cor_bud,Corokia buddleioides,Argophyllaceae,Asterales,asterids,2.429391147,1.8870956,0.399780055,0.657949906,0.772076719,1,0.915039989,1.042215099,1.978335051,137.81,235.3,98.61,494.29,2739.28,13.55,NA,-16.86,292.2,137.67,5.87,2.11,NA,NA,0.39,6
34,Cor_lae,Corynocarpus laevigata,Corynocarpaceae,Cucurbitales,rosids,2.439372618,1.999221925,0.452451615,0.612909176,0.693808792,0.977818071,0.938501871,0.96793403,1.180144009,99.85,635.89,136.09,1258.42,6161.07,3.95,13.73,-67.57,-79.64,-73.605,1.09,2.07,0.51,1.88,0.3,5
35,Cos_tap,Costus tappenbeckianus,Costaceae,Zingiberales,monocots,1.947410935,1.652154737,0.074040009,0.528665369,0.648136031,1,1.026615108,1.236718707,1.022957884,55.84,107.82,88.62,889.25,4118.85,2.9,5.2,-77.93,-83.75,-80.84,1.44,0.89,NA,NA,0.22,3
36,Cri_pat,Crinodendron patagua,Elaeocarpaceae,Oxalidales,rosids,2.042353669,1.67634826,0.527889114,0.693164377,0.759375468,0.99119456,0.829049081,1.002665299,1.455427517,128.81,617.76,45.79,438.41,3048.4,14.41,NA,-94.05,-88.04,-91.045,5.77,12.4,NA,NA,0.32,5
37,Cup_nud,Cuphea nudicostata,Lythraceae,Myrtales,rosids,2.860614753,2.223441688,0.465939203,0.546736771,0.70470779,0.995355056,0.87589983,0.958503323,1.616518006,39.69,19.35,9.62,85.45,727.39,2.64,NA,-20.34,-73.02,-46.68,5.76,3.34,NA,NA,0.48,5
38,Cus_spi,Cussonia spicata,Araliaceae,Apiales,asterids,2.29190139,1.984891719,0.379833508,0.630082765,0.739493029,0.960900952,0.889552041,0.926214829,1.184391877,80.65,303.26,154.5,1444.49,4725.71,3.25,NA,-63.2,-82.84,-73.02,2.47,2.18,1.71,2.39,0.32,6
39,Cya_ful,Cyathea fulva,Cyatheaceae,Cyatheales,ferns,1.777092068,1.6519005,1.180994656,0.595651954,0.654505511,0.864630476,1.072719734,1.357521944,1.823037365,37.38,28.53,11.26,103.71,NA,2.57,NA,-98.55,-89.86,-94.205,1.21,0.93,NA,NA,0.31,1
40,Cyc_bip,Cyclanthus bipartitus,Cyclanthaceae,Pandanales,monocots,2.066344702,1.757425283,0.729005409,0.429199941,0.562231351,0.932265726,1.417505229,1.278699342,2.462097344,57.1,228.95,170.2,622.98,5878.35,2.45,NA,-75.61,-58.14,-66.875,0.43,0.64,NA,NA,0.24,3
41,Dap_him,Daphniphyllum himalayense,Daphniphyllaceae,Saxifragales,basal eudicots,1.787516506,1.569915807,0.600277258,0.786131366,0.841184967,0.968142799,0.805324731,0.838392264,2.153674472,121.62,185.2,138.05,1043.45,6564.48,0.93,7.98,-70.48,-79.31,-74.895,2.08,3.32,0.56,1.7,0.38,4
42,Del_fis,Delphinium fissum,Ranunculaceae,Ranunculales,basal eudicots,2.912532455,2.395024242,0.281165092,0.563070141,0.725609229,0.992363568,0.86664448,0.959306333,0.681812014,90.58,99.81,86.03,394.86,5643.93,2.89,NA,-94.84,-95.37,-95.105,2.26,13.69,NA,NA,0.3,4
43,Des_spi,Desfontainia spinosa,Columelliaceae,Bruniales,asterids,1.556267539,1.297973263,0.451924101,0.784611693,0.828426533,1,0.808073198,0.956468785,0.779398407,151.09,325.29,246.33,1075.82,5558.93,25.7,219.04,-96,-93.52,-94.76,1.31,26.53,0.29,0.98,0.57,6
44,Dic_ant,Dicksonia antarctica,Dicksoniaceae,Cyatheales,ferns,1.686755097,1.184480243,0,0.632583512,0.887826096,0,1.249043575,1.251726191,0,106.06,391.9,143.59,542.53,35020.8,63.3,NA,158.8,-12.7,73.05,2.66,0.19,2.27,6.87,0.25,1
45,Dic_feb,Hydrangea febrifuga,Hydrangeaceae,Cornales,asterids,1.203354088,0.733024066,0,0.721742274,0.839982495,0,1.027260679,1.723506958,0,61.13,141.4,61.67,566.1,2946.15,0.46,6.21,-53.01,-26.32,-39.665,2.85,1.55,NA,NA,0.36,6
46,Dic_squ,Dicksonia squarrosa,Dicksoniaceae,Cyatheales,ferns,1.491820375,1.417221204,1.00927675,0.770793248,0.815444573,0.914904146,1.342971927,1.003751135,1.08882986,123.52,636.78,142.62,556.34,48815.26,69.01,NA,414.25,175.69,294.97,3.92,0.24,NA,NA,0.31,1
47,Dio_lyc,Diospyros lycioides,Ebenaceae,Ericales,asterids,1.896192492,0.889505754,0,0.651611685,0.926677844,0,0.849600286,1.43445376,0,101.78,27.74,46.53,577.58,3306.71,0.62,NA,0,-38.74,-19.37,6.68,32.91,NA,NA,0.34,6
48,Dio_pol,Dioscorea oppositifolia,Dioscoreaceae,Dioscoreales,monocots,2.128235944,1.688142579,0.492744798,0.730493811,0.75816038,0.993654496,0.830492805,0.90484626,1.238253435,46.6,198.13,96.73,142.04,3064.74,24.27,NA,-85.86,-91.06,-88.46,1.27,0.91,NA,NA,0.26,3
49,Dip_esc,Diplazium esculentum,Athyriaceae,Polypodiales,ferns,2.092955078,1.742833094,0.51267194,0.575418336,0.666508467,1,1.629147319,1.658665662,1.778856182,43.25,24.16,58.83,499.66,13565.37,16.63,NA,-92.21,-91.7,-91.955,5.06,7.51,0.49,0.96,0.2,1
50,Dir_occ,Dirca occidentalis,Thymelaeaceae,Malvales,rosids,3.03719962,2.532506764,0.625866002,0.594823518,0.733643943,0.981383434,0.808065999,0.805540621,0.418482517,42.52,183.48,196.15,643.2,4218.45,4.16,5.66,-52.67,-85.16,-68.915,1.83,6.68,NA,NA,0.48,5
51,Doo_asp,Doodia aspera,Blechnaceae,Polypodiales,ferns,1.365309496,1.305195624,1.074761679,0.603303314,0.660158191,0.873051976,0.960842081,0.95542419,0.944114097,119.71,430.26,255.77,498.89,8330.02,115.59,NA,-97.4,-97.1,-97.25,5.12,1.19,2.24,3.33,0.41,1
52,Dry_rem,Dryopteris ramosa,Dryopteridaceae,Polypodiales,ferns,1.410924411,0.893980464,0.18992677,0.917634309,0.926944634,1,0.822005975,1.565469609,1.432061155,55.93,328.01,152.71,145.63,13797.98,34.61,NA,-82.48,-76.88,-79.68,2.1,2.07,NA,NA,0.31,1
53,Ehr_acu,Ehretia acuminata,Boraginaceae,Boraginales,asterids,2.383495085,1.964716893,0.61085311,0.60399717,0.683425567,0.980187579,0.765236352,0.791171517,1.729939746,64.72,57.85,26.84,188.19,1564.21,3,7.71,-96.59,-70.22,-83.405,2.6,10.54,NA,NA,0.36,6
54,Equ_tel,Equisetum telmateia,Equisetaceae,Equisetales,ferns,0,1.317314149,1.246572193,0,0.942415963,1,0,7.650267177,5.928627183,64.92,NA,77.16,NA,NA,14.45,NA,NA,-1.51,NA,2.11,7.3,NA,NA,0.27,1
55,Esc_her,Escallonia herrerae,Escalloniaceae,Escalloniales,asterids,2.830255209,2.375147912,0.592301293,0.644477563,0.765917685,0.971920693,0.810174793,0.80088623,2.294048013,78.44,455.57,73.35,829.84,3249.5,8.91,96.26,-81.54,-67.46,-74.5,4.84,1.62,NA,NA,0.33,6
56,Euc_cri,Euclea crispa,Ebenaceae,Ericales,asterids,2.446860337,2.010092328,0.518827854,0.595691337,0.713580863,1,0.957707006,0.946785973,1.17976117,162.41,NA,118.3,2258.59,6827.64,29.47,39.83,-63.89,-62.41,-63.15,6.96,28.99,NA,NA,0.53,6
57,Eur_jap,Eurya japonica,Pentaphylacaceae,Ericales,asterids,2.139469078,1.707940521,0.829659954,0.756806774,0.78456295,0.947752792,0.960957638,1.013927619,1.383286444,150.95,NA,260.54,601.13,5920.35,2.95,25.51,-76.07,-47.36,-61.715,2.41,2.45,NA,NA,0.42,6
58,Eus_jap,Staphylea japonica,Staphyleaceae,Crossosomatales,rosids,3.038166014,2.436891655,0.52782197,0.559501229,0.732000966,0.97167371,0.831241662,0.892351204,1.354759088,76.87,135.84,63.31,499.14,4487.42,0.67,NA,-98.68,-98.73,-98.705,6.4,9.4,NA,NA,0.24,5
59,Fra_son,Francoa appendiculata,Francoaceae,Geraniales,rosids,1.653752105,1.530630562,1.110395172,0.744927405,0.787389881,0.877579331,0.7906975,0.799100787,0.853146326,71.12,108.72,57.24,129.92,1460.66,90.38,78.85,-75.73,-90.31,-83.02,6.64,1.63,0.66,1,0.24,5
